key,pl,de,en,fr (French),sv (Swedish),it (Italian),es (Spanish),da (Danish)
videoAddedToInbox,Nowe filmy w skrzynce,Neue Videos in Inbox,Videos Added to Inbox,,,,,
videoAddedToQueue,Nowe filmy w kolejce,Neue Videos in Queue,Videos Added to Queue,,,,,
videoDescription,Opis filmu,Video Beschreibung,Video Description,,,,,
videoFilter,Filmy,Videos,Videos,,,,,
videoListFormat,Widok listy filmów,Video Listen Darstellung,Video List Format,,,,,
videoPlacement,Pozycja,Neue Videos,Placement,,,,,
videoSettings,Filmy,Videos,Videos,,,,,
videoSorting,Sortowanie,Sortierung,Sorting,,,,,
videoStatus,Status filmu,Video Status,Video Status,,,,,
videoTitle,Tytuł,Titel,Title,,,,,
videoTriage,Selekcja,Triage,Triage,,,,,
videoURL,URL,URL,URL,,,,,
videos,Filmy,Videos,Videos,,,,,
watchHistoryNotShowingFaqA,"Włącz “Ustawienia → Odtwarzanie → Historia filmów na YouTube”, aby upewnić się, że obejrzane filmy pojawią się na YouTube, i zaloguj się przez przeglądarkę w aplikacji.","Die Option ""Einstellungen → Wiedergabe → YouTube Wiedergabeverlauf"" muss aktiviert sein. Stelle außerdem Sicher, dass du im in-App Browser mit deinem YouTube Account angemeldet bist.","Enable “Settings → Playback → YouTube Watch History” to ensure watched videos appear on YouTube, and sign in through the in-app browser.",,,,,
watchHistoryNotShowingFaqQ,Dlaczego moje obejrzane filmy nie pojawiają się w mojej historii oglądania YouTube?,Warum erscheinen meine angesehenen Videos nicht in meinem YouTube-Wiedergabeverlauf?,Why don't my watched videos appear in my YouTube watch history?,,,,,
watchHistoryNotShowingFaqT,Historia filmów na YouTube,YouTube Wiedergabeverlauf,YouTube Watch History,,,,,
watchInBrowser,Oglądaj w przeglądarce,Im Browser ansehen,Watch in Browser,,,,,
watched,Obejrzane,Gesehen,Watched,,,,,
yellow,Żółty,Gelb,Yellow,,,,,
youtube,YouTube,YouTube,YouTube,,,,,
youtubeChannelUrl,URL kanału YouTube,YouTube Kanal URL,YouTube Channel URL,,,,,
youtubePremium,Potwierdź YouTube Premium,YouTube Premium bestätigen,Confirm YouTube Premium,,,,,
youtubePremiumConfirm,Mam Premium,Ich habe Premium,I have Premium,,,,,
youtubePremiumDecline,Nie mam Premium,Ich habe kein Premium,I don’t have Premium,,,,,
youtubePremiumTitle,Czy masz YouTube Premium?,Hast du YouTube Premium?,Do you have YouTube Premium?,,,,,
youtubeUrl,URL YouTube,YouTube URL,YouTube URL,,,,,
,,,,,,,,
title (max 30 chars),,,Unwatched for YouTube,,,,,
Subtitle (max 30 chars),,,Player & Watch Later Queue,,,,,
keywords (max 100 chars),,,"rss,reader,save,subscription,manage,podcast,pip,follow,without,ads,list,triage,inbox,skip,chapter",,,,,
description,,,"Follow YouTube channels or add Videos to watch them later

KEY FEATURES

• The Queue
No autoplay, no algorithmic bottomless feed. Just the Videos queued up in the order you want to.

• Follow Channels or Playlist
Automatically add new videos

• Triage
Choose where new videos of each channel should end up. Directly on top of the queue, or in your inbox to sort through them. Pick the best, leave the rest.

• Sick of #shorts?
Hide them all if you want.

• Custom Playback Speed Per Channel
Set custom speeds for any channel. Want to watch trailers in 1x and podcasts in 2x? You can.

• Chapter Support
Jump to any chapter or pick and choose a few to watch while skipping the rest.


MORE
• Picture-in-Picture (+ Background Audio)
• Drag and drop videos & channel urls
• Shortcut support
• Continuous play
• Notifications
• Sleep Timer
• Custom Themes
• Directly Import YouTube Subscriptions
• iCloud Sync",,,,,
